sra_accession	bioproject_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	filename5	filename6	filename7	filename8	filename9	filename10
SRR4309452		49	49	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_49.1.1.fastq	2007-2008_49.2.1.fastq								
SRR4309453		49	49	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_49.1.1.fastq	Run-1293_49.2.1.fastq								
SRR4309454		50	50	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_50.1.1.fastq	2007-2008_50.2.1.fastq								
SRR4309455		50	50	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_50.1.1.fastq	Run-1293_50.2.1.fastq								
SRR4309456		51	51	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_51.1.1.fastq	2007-2008_51.2.1.fastq								
SRR4298744		51	51	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_51.1.1.fastq	Run-1293_51.2.1.fastq								
SRR4309380		52	52	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_52.1.1.fastq	Run-1293_52.2.1.fastq								
SRR4309381		54	54	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_54.1.1.fastq	2007-2008_54.2.1.fastq								
SRR4298746		54	54	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_54.1.1.fastq	Run-1293_54.2.1.fastq								
SRR4309459		55	55	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_55.1.1.fastq	2007-2008_55.2.1.fastq								
SRR4309460		55	55	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_55.1.1.fastq	Run-1293_55.2.1.fastq								
SRR4309461		56	56	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_56.1.1.fastq	2007-2008_56.2.1.fastq								
SRR4309462		56	56	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_56.1.1.fastq	Run-1293_56.1.2.fastq	Run-1293_56.2.1.fastq	Run-1293_56.2.2.fastq						
SRR4309463		57	57	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_57.1.1.fastq	2007-2008_57.2.1.fastq								
SRR4309464		57	57	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_57.1.1.fastq	Run-1293_57.1.2.fastq	Run-1293_57.2.1.fastq	Run-1293_57.2.2.fastq						
SRR4309465		58	58	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_58.1.1.fastq	Run-1293_58.2.1.fastq								
SRR4309466		59	59	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_59.1.1.fastq	Run-1293_59.1.2.fastq	Run-1293_59.2.1.fastq	Run-1293_59.2.2.fastq						
SRR4298751		61	61	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_61.1.1.fastq	2007-2008_61.2.1.fastq								
SRR4298752		61	61	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_61.1.1.fastq	Run-1293_61.1.2.fastq	Run-1293_61.2.1.fastq	Run-1293_61.2.2.fastq						
SRR4309469		64	64	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_64.1.1.fastq	2007-2008_64.2.1.fastq								
SRR4309470		64	64	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_64.1.1.fastq	Run-1293_64.2.1.fastq								
SRR4309471		66	66	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_66.1.1.fastq	2007-2008_66.2.1.fastq								
SRR4309472		66	66	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_66.1.1.fastq	Run-1293_66.1.2.fastq	Run-1293_66.2.1.fastq	Run-1293_66.2.2.fastq						
SRR4309473		67	67	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_67.1.1.fastq	2007-2008_67.2.1.fastq								
SRR4309474		67	67	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_67.1.1.fastq	Run-1293_67.2.1.fastq								
SRR4309382		68	68	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_68.1.1.fastq	Run-1293_68.2.1.fastq								
SRR4309383		70	70	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_70.1.1.fastq	Run-1293_70.2.1.fastq								
SRR4309475		71	71	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_71.1.1.fastq	2007-2008_71.2.1.fastq								
SRR4309476		71	71	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_71.1.1.fastq	Run-1293_71.2.1.fastq								
SRR4298758		72	72	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_72.1.1.fastq	2007-2008_72.2.1.fastq								
SRR4309478		72	72	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_72.1.1.fastq	Run-1293_72.1.2.fastq	Run-1293_72.2.1.fastq	Run-1293_72.2.2.fastq						
SRR4309479		73	73	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_73.1.1.fastq	2007-2008_73.2.1.fastq								
SRR4298760		73	73	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_73.1.1.fastq	Run-1293_73.1.2.fastq	Run-1293_73.1.3.fastq	Run-1293_73.1.4.fastq	Run-1293_73.2.1.fastq	Run-1293_73.2.2.fastq	Run-1293_73.2.3.f			
SRR4309481		74	74	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_74.1.1.fastq	2007-2008_74.2.1.fastq								
SRR4309482		74	74	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_74.1.1.fastq	Run-1293_74.1.2.fastq	Run-1293_74.2.1.fastq	Run-1293_74.2.2.fastq						
SRR4309483		75	75	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_75.1.1.fastq	Run-1293_75.1.2.fastq	Run-1293_75.2.1.fastq	Run-1293_75.2.2.fastq						
SRR4309484		76	76	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_76.1.1.fastq	2007-2008_76.2.1.fastq								
SRR4309485		76	76	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_76.1.1.fastq	Run-1293_76.1.2.fastq	Run-1293_76.2.1.fastq	Run-1293_76.2.2.fastq						
SRR4309486		77	77	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_77.1.1.fastq	Run-1293_77.1.2.fastq	Run-1293_77.2.1.fastq	Run-1293_77.2.2.fastq						
SRR4309487		78	78	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_78.1.1.fastq	2007-2008_78.2.1.fastq								
SRR4309488		78	78	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_78.1.1.fastq	Run-1293_78.2.1.fastq								
SRR4298766		79	79	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_79.1.1.fastq	2007-2008_79.2.1.fastq								
SRR4309384		79	79	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1293_79.1.1.fastq	Run-1293_79.1.2.fastq	Run-1293_79.2.1.fastq	Run-1293_79.2.2.fastq						
SRR4309385		80	80	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_80.1.1.fastq	2007-2008_80.2.1.fastq								
SRR4309489		80	80	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1304_80.1.1.fastq	Run-1304_80.1.2.fastq	Run-1304_80.2.1.fastq	Run-1304_80.2.2.fastq						
SRR4309490		81	81	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_81.1.1.fastq	2007-2008_81.2.1.fastq								
SRR4309492		81	81	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1304_81.1.1.fastq	Run-1304_81.2.1.fastq								
SRR4309493		82	82	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_82.1.1.fastq	2007-2008_82.2.1.fastq								
SRR4309496		82	82	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1304_82.1.1.fastq	Run-1304_82.2.1.fastq								
SRR4309497		83	83	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	Run-1304_83.1.1.fastq	Run-1304_83.2.1.fastq								
SRR4309494		84	84	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2500		fastq	2007-2008_84.1.1.fastq	2007-2008_84.2.1.fastq								
SRR4309495		84	84	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2501		fastq	Run-1304_84.1.1.fastq	Run-1304_84.2.1.fastq								
SRR4309498		85	85	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2502		fastq	2007-2008_85.1.1.fastq	2007-2008_85.2.1.fastq								
SRR4309499		85	85	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2503		fastq	Run-1304_85.1.1.fastq	Run-1304_85.1.2.fastq	Run-1304_85.1.3.fastq	Run-1304_85.2.1.fastq	Run-1304_85.2.2.fastq	Run-1304_85.2.3.fastq				
SRR4309500		86	86	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2504		fastq	2007-2008_86.1.1.fastq	2007-2008_86.2.1.fastq								
SRR4309501		86	86	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2505		fastq	Run-1304_86.1.1.fastq	Run-1304_86.1.2.fastq	Run-1304_86.2.1.fastq	Run-1304_86.2.2.fastq						
SRR4298775		88	88	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2506		fastq	2007-2008_88.1.1.fastq	2007-2008_88.2.1.fastq								
SRR4298776		88	88	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2507		fastq	Run-1304_88.1.1.fastq	Run-1304_88.2.1.fastq								
SRR4298777		89	89	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2508		fastq	2007-2008_89.1.1.fastq	2007-2008_89.2.1.fastq								
SRR4298778		89	89	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2509		fastq	Run-1304_89.1.1.fastq	Run-1304_89.1.2.fastq	Run-1304_89.2.1.fastq	Run-1304_89.2.2.fastq						
SRR4298779		90	90	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2510		fastq	Run-1304_90.1.1.fastq	Run-1304_90.2.1.fastq								
SRR4309386		91	91	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2511		fastq	Run-1304_91.1.1.fastq	Run-1304_91.2.1.fastq								
SRR4309387		92	92	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2512		fastq	Run-1304_92.1.1.fastq	Run-1304_92.2.1.fastq								
SRR4298781		93	93	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2513		fastq	Run-1304_93.1.1.fastq	Run-1304_93.1.2.fastq	Run-1304_93.2.1.fastq	Run-1304_93.2.2.fastq						
SRR4298782		94	94	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2514		fastq	2007-2008_94.1.1.fastq	2007-2008_94.2.1.fastq								
SRR4309509		95	95	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2515		fastq	2007-2008_95.1.1.fastq	2007-2008_95.2.1.fastq								
SRR4309510		96	96	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2516		fastq	Run-1304_96.1.1.fastq	Run-1304_96.2.1.fastq								
SRR4309511		98	98	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2517		fastq	2007-2008_98.1.1.fastq	2007-2008_98.2.1.fastq								
SRR4309512		98	98	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2518		fastq	Run-1304_98.1.1.fastq	Run-1304_98.2.1.fastq								
SRR4309513		100	100	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2519		fastq	2007-2008_100.1.1.fastq	2007-2008_100.2.1.fastq								
SRR4309514		100	100	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2520		fastq	Run-1304_100.1.1.fastq	Run-1304_100.2.1.fastq								
SRR4309515		101	101	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2521		fastq	2007-2008_101.1.1.fastq	2007-2008_101.2.1.fastq								
SRR4309516		101	101	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2522		fastq	Run-1304_101.1.1.fastq	Run-1304_101.1.2.fastq	Run-1304_101.2.1.fastq	Run-1304_101.2.2.fastq						
SRR4309517		103	103	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2523		fastq	2007-2008_103.1.1.fastq	2007-2008_103.2.1.fastq								
SRR4309518		103	103	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2524		fastq	Run-1304_103.1.1.fastq	Run-1304_103.1.2.fastq	Run-1304_103.2.1.fastq	Run-1304_103.2.2.fastq						
SRR4309519		104	104	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2525		fastq	2007-2008_104.1.1.fastq	2007-2008_104.2.1.fastq								
SRR4309520		104	104	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2526		fastq	Run-1304_104.1.1.fastq	Run-1304_104.1.2.fastq	Run-1304_104.2.1.fastq	Run-1304_104.2.2.fastq						
SRR4309521		105	105	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2527		fastq	2007-2008_105.1.1.fastq	2007-2008_105.2.1.fastq								
SRR4309522		105	105	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2528		fastq	Run-1304_105.1.1.fastq	Run-1304_105.2.1.fastq								
SRR4309523		106	106	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2529		fastq	2007-2008_106.1.1.fastq	2007-2008_106.2.1.fastq								
SRR4309524		106	106	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2530		fastq	Run-1304_106.1.1.fastq	Run-1304_106.2.1.fastq								
SRR4309388		400	400	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2531		fastq	2004-2005_400.1.1.fastq	2004-2005_400.2.1.fastq								
SRR4309389		400	400	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2532		fastq	Run-1412_400.1.1.fastq	Run-1412_400.2.1.fastq								
SRR4298792		401	401	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2533		fastq	Run-1412_401.1.1.fastq	Run-1412_401.2.1.fastq								
SRR4309526		402	402	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2534		fastq	2004-2005_402.1.1.fastq	2004-2005_402.2.1.fastq								
SRR4309527		402	402	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2535		fastq	Run-1412_402.1.1.fastq	Run-1412_402.2.1.fastq								
SRR4309528		403	403	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2536		fastq	2004-2005_403.1.1.fastq	2004-2005_403.2.1.fastq								
SRR4309529		403	403	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2537		fastq	Run-1412_403.1.1.fastq	Run-1412_403.2.1.fastq								
SRR4298795		404	404	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2538		fastq	Run-1412_404.1.1.fastq	Run-1412_404.2.1.fastq								
SRR4309531		406	406	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2539		fastq	2004-2005_406.1.1.fastq	2004-2005_406.2.1.fastq								
SRR4309532		406	406	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2540		fastq	Run-1412_406.1.1.fastq	Run-1412_406.2.1.fastq								
SRR4298797		407	407	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2541		fastq	Run-1412_407.1.1.fastq	Run-1412_407.2.1.fastq								
SRR4298800		409	409	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2542		fastq	2004-2005_409.1.1.fastq	2004-2005_409.2.1.fastq								
SRR4309534		409	409	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2543		fastq	Run-1412_409.1.1.fastq	Run-1412_409.2.1.fastq								
SRR4309535		411	411	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2544		fastq	Run-1412_411.1.1.fastq	Run-1412_411.2.1.fastq								
SRR4298799		412	412	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2545		fastq	Run-1412_412.1.1.fastq	Run-1412_412.2.1.fastq								
SRR4309538		414	414	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2546		fastq	2004-2005_414.1.1.fastq	2004-2005_414.2.1.fastq								
SRR4309539		414	414	WGS of Inlfuenza A virus : Isolated from throat swab of a naturally infected individual	WGS	VIRAL RNA	RT-PCR	paired	ILLUMINA	Illumina HiSeq 2547		fastq	Run-1412_414.1.1.fastq	Run-1412_414.2.1.fastq								
